Date,Time,Unit,Value
11/19/21, 7:54 PM,count/min,83.0
11/20/21, 12:04 AM,count/min,68.0
11/21/21, 12:00 AM,count/min,68.0
11/22/21, 12:01 AM,count/min,63.0
11/22/21, 12:01 AM,count/min,61.99999999999999
11/23/21, 12:02 AM,count/min,69.0
11/24/21, 12:05 AM,count/min,64.0
11/25/21, 7:13 AM,count/min,72.0
11/26/21, 12:00 AM,count/min,71.0
11/27/21, 6:29 AM,count/min,73.0
11/28/21, 12:00 AM,count/min,81.0
11/29/21, 12:01 AM,count/min,61.99999999999999
11/30/21, 7:25 AM,count/min,66.0
12/1/21, 12:01 AM,count/min,65.0
12/2/21, 2:07 PM,count/min,85.0
12/3/21, 12:01 AM,count/min,67.0
12/5/21, 6:39 AM,count/min,80.0
12/6/21, 12:01 AM,count/min,60.0
12/7/21, 12:00 AM,count/min,82.0
12/8/21, 12:05 AM,count/min,71.0
12/9/21, 6:30 PM,count/min,64.0
12/10/21, 12:01 AM,count/min,58.0
12/12/21, 5:36 AM,count/min,79.0
12/18/21, 7:10 PM,count/min,83.0
12/19/21, 12:06 AM,count/min,70.0
12/20/21, 12:04 AM,count/min,63.0
12/21/21, 12:01 AM,count/min,57.0
2/1/22, 3:21 PM,count/min,66.0
2/2/22, 1:05 AM,count/min,65.0
2/3/22, 12:17 PM,count/min,77.0
2/4/22, 3:45 PM,count/min,91.0
2/5/22, 12:32 PM,count/min,77.0
2/6/22, 8:41 AM,count/min,74.0
2/7/22, 1:02 AM,count/min,65.0
3/1/22, 4:46 AM,count/min,73.0
3/2/22, 9:00 AM,count/min,96.0
3/3/22, 8:14 PM,count/min,85.0
3/4/22, 10:34 AM,count/min,97.0
3/5/22, 9:15 AM,count/min,82.0
3/6/22, 12:02 AM,count/min,72.0
1/5/23, 11:18 AM,count/min,66.0
1/6/23, 7:32 AM,count/min,64.0
1/7/23, 12:03 AM,count/min,94.0
1/9/23, 8:00 AM,count/min,70.0
1/10/23, 7:26 AM,count/min,61.0
1/11/23, 7:57 AM,count/min,68.0
1/12/23, 7:27 AM,count/min,75.0
1/13/23, 6:54 AM,count/min,88.0
1/14/23, 2:15 PM,count/min,66.0
1/15/23, 12:00 AM,count/min,69.0
1/17/23, 8:51 AM,count/min,93.0
2/3/23, 7:24 AM,count/min,60.0
2/4/23, 12:03 AM,count/min,68.0
2/5/23, 12:00 AM,count/min,67.0
2/20/23, 1:32 AM,count/min,77.00000000000001
2/22/23, 8:29 AM,count/min,104.0
2/23/23, 8:52 AM,count/min,102.0
2/24/23, 9:06 AM,count/min,78.0
2/25/23, 12:00 AM,count/min,61.0
4/21/23, 9:28 PM,count/min,60.0
4/22/23, 12:01 AM,count/min,97.0
4/24/23, 9:32 AM,count/min,67.0
4/25/23, 10:26 AM,count/min,64.0
4/26/23, 11:34 AM,count/min,65.0
4/27/23, 12:49 PM,count/min,68.0
4/28/23, 9:54 AM,count/min,67.0
4/29/23, 12:03 AM,count/min,69.0
5/3/23, 5:02 PM,count/min,77.00000000000001
5/4/23, 12:01 AM,count/min,66.0
5/5/23, 12:01 AM,count/min,78.0
5/6/23, 12:03 AM,count/min,63.0
5/7/23, 12:01 AM,count/min,68.0
5/8/23, 12:06 AM,count/min,66.0
5/9/23, 3:06 PM,count/min,90.0
5/10/23, 7:29 AM,count/min,62.00000000000001
5/13/23, 3:18 PM,count/min,74.0
5/14/23, 12:01 AM,count/min,68.0
5/15/23, 7:32 AM,count/min,65.0
5/16/23, 8:01 AM,count/min,60.0
5/18/23, 7:45 AM,count/min,63.0
5/19/23, 12:02 AM,count/min,62.00000000000001
5/20/23, 1:43 AM,count/min,62.00000000000001
5/21/23, 7:38 AM,count/min,64.0
5/22/23, 7:06 PM,count/min,91.0
5/23/23, 7:45 AM,count/min,56.0
5/24/23, 5:22 PM,count/min,65.0
5/27/23, 4:29 AM,count/min,66.0
5/28/23, 1:05 AM,count/min,74.0
5/29/23, 12:07 AM,count/min,85.0
5/30/23, 1:59 AM,count/min,66.0
5/31/23, 12:01 AM,count/min,68.0
6/3/23, 5:20 AM,count/min,65.0
6/4/23, 12:11 AM,count/min,94.0
6/7/23, 4:44 PM,count/min,82.0
6/8/23, 12:32 AM,count/min,75.0
6/9/23, 2:03 AM,count/min,61.0
6/10/23, 5:09 PM,count/min,81.0
6/14/23, 9:18 PM,count/min,79.0
6/15/23, 12:00 AM,count/min,69.0
6/16/23, 1:59 AM,count/min,67.0
6/19/23, 4:12 PM,count/min,71.0
6/24/23, 4:45 PM,count/min,84.0
6/26/23, 4:28 PM,count/min,81.0
6/27/23, 2:01 AM,count/min,69.0
6/29/23, 7:08 PM,count/min,91.0
6/30/23, 2:02 AM,count/min,77.00000000000001
7/1/23, 12:00 AM,count/min,67.0
7/7/23, 9:09 PM,count/min,65.0
7/8/23, 12:01 AM,count/min,67.0
7/9/23, 12:03 AM,count/min,79.0
7/29/23, 5:32 PM,count/min,86.0
7/31/23, 3:19 PM,count/min,82.0
8/1/23, 9:13 AM,count/min,65.0
8/2/23, 12:02 AM,count/min,67.0
8/4/23, 1:00 AM,count/min,62.00000000000001
8/7/23, 4:04 PM,count/min,78.0
8/12/23, 10:43 AM,count/min,72.0
8/13/23, 12:02 AM,count/min,69.0
8/16/23, 4:17 PM,count/min,75.0
8/17/23, 12:00 AM,count/min,71.0
8/18/23, 5:07 PM,count/min,65.0
8/19/23, 10:43 AM,count/min,64.0
8/22/23, 4:17 PM,count/min,71.0
8/25/23, 6:53 PM,count/min,79.0
8/26/23, 12:05 AM,count/min,75.0
8/27/23, 12:07 AM,count/min,77.00000000000001
8/28/23, 4:22 PM,count/min,65.0
8/29/23, 12:17 AM,count/min,62.00000000000001
8/30/23, 2:54 PM,count/min,72.0
9/1/23, 1:26 AM,count/min,63.0
9/2/23, 12:01 AM,count/min,68.0
9/7/23, 4:34 PM,count/min,69.0
9/9/23, 4:24 PM,count/min,73.0
9/10/23, 12:02 AM,count/min,62.00000000000001
9/13/23, 4:17 PM,count/min,78.0
9/17/23, 4:01 AM,count/min,71.0
9/18/23, 6:35 AM,count/min,72.0
9/19/23, 6:33 AM,count/min,64.0
9/21/23, 3:50 PM,count/min,73.0
9/22/23, 6:04 AM,count/min,62.00000000000001
9/29/23, 4:35 PM,count/min,65.0
9/30/23, 12:03 AM,count/min,63.0
10/3/23, 4:21 PM,count/min,69.0
10/4/23, 4:15 PM,count/min,65.0
10/8/23, 1:46 PM,count/min,68.0
10/9/23, 4:34 PM,count/min,65.0
10/10/23, 6:32 AM,count/min,64.0
10/12/23, 8:36 AM,count/min,61.0
10/13/23, 12:02 AM,count/min,74.0
10/14/23, 1:21 PM,count/min,68.0
10/15/23, 12:00 AM,count/min,72.0
10/16/23, 6:37 AM,count/min,60.0
10/19/23, 6:39 AM,count/min,68.0
10/20/23, 1:04 AM,count/min,74.0
11/6/23, 4:27 PM,count/min,73.0
11/7/23, 12:03 AM,count/min,67.0
11/8/23, 12:02 AM,count/min,63.0
11/13/23, 4:33 PM,count/min,68.0
11/14/23, 12:00 AM,count/min,66.0
11/22/23, 4:28 PM,count/min,75.0
11/26/23, 10:24 AM,count/min,60.0
12/27/23, 4:53 PM,count/min,74.0
12/29/23, 5:05 PM,count/min,70.0
12/30/23, 12:00 AM,count/min,59.0
12/31/23, 12:01 AM,count/min,67.0
1/2/24, 5:11 PM,count/min,77.00000000000001
1/7/24, 12:07 AM,count/min,83.0
1/8/24, 2:35 PM,count/min,72.0
1/9/24, 12:02 AM,count/min,75.0
1/10/24, 4:59 PM,count/min,75.0
1/11/24, 12:00 AM,count/min,78.0
1/19/24, 5:50 PM,count/min,87.0
1/20/24, 12:03 AM,count/min,77.00000000000001
1/23/24, 4:02 PM,count/min,81.0
1/24/24, 12:03 AM,count/min,80.0
1/26/24, 5:00 PM,count/min,70.0
1/27/24, 12:04 AM,count/min,57.0
1/28/24, 12:04 AM,count/min,84.0
1/29/24, 4:54 PM,count/min,79.0
1/30/24, 12:04 AM,count/min,72.0
1/31/24, 12:00 AM,count/min,74.0
2/1/24, 12:03 AM,count/min,70.0
2/2/24, 12:02 AM,count/min,63.0
2/3/24, 4:53 PM,count/min,65.0
2/6/24, 4:51 PM,count/min,71.0
2/7/24, 12:05 AM,count/min,66.0
2/8/24, 12:44 PM,count/min,78.0
2/10/24, 1:55 PM,count/min,73.0
2/11/24, 1:54 PM,count/min,72.0
2/12/24, 5:07 PM,count/min,72.0
2/13/24, 12:01 AM,count/min,75.0
2/15/24, 5:36 PM,count/min,76.0
2/16/24, 12:02 AM,count/min,67.0
2/17/24, 12:00 AM,count/min,60.0
2/18/24, 3:13 AM,count/min,66.0
2/19/24, 8:45 PM,count/min,85.0
2/20/24, 3:00 AM,count/min,61.0
2/21/24, 3:03 AM,count/min,65.0
2/22/24, 10:26 AM,count/min,93.0
2/23/24, 12:04 AM,count/min,81.0
3/1/24, 5:34 PM,count/min,66.0
3/5/24, 2:00 AM,count/min,67.0
3/6/24, 11:12 AM,count/min,94.0
3/7/24, 11:06 AM,count/min,97.0
3/8/24, 11:05 AM,count/min,88.0
3/9/24, 2:00 AM,count/min,68.0
3/12/24, 11:15 AM,count/min,63.0
3/13/24, 12:03 AM,count/min,60.0
3/14/24, 5:06 PM,count/min,71.0
3/15/24, 10:06 AM,count/min,68.0
3/16/24, 3:00 AM,count/min,85.0
3/17/24, 3:01 AM,count/min,66.0
3/18/24, 12:01 AM,count/min,67.0
3/20/24, 12:54 PM,count/min,72.0
3/25/24, 4:38 PM,count/min,79.0
3/26/24, 12:00 AM,count/min,85.0
3/27/24, 2:22 PM,count/min,87.0
3/28/24, 12:03 AM,count/min,82.0
3/29/24, 12:01 AM,count/min,85.0
3/30/24, 2:13 PM,count/min,64.0
3/31/24, 12:00 AM,count/min,69.0
4/1/24, 4:53 PM,count/min,87.0
4/2/24, 12:00 AM,count/min,72.0
4/3/24, 8:56 AM,count/min,70.0
4/4/24, 9:25 AM,count/min,88.0
4/5/24, 2:03 AM,count/min,82.0
4/6/24, 2:02 AM,count/min,85.0
4/29/24, 6:53 AM,count/min,64.0
4/30/24, 12:19 AM,count/min,64.0
5/1/24, 5:12 AM,count/min,70.0
5/3/24, 5:16 AM,count/min,63.0
5/5/24, 8:22 PM,count/min,67.0
5/8/24, 8:48 PM,count/min,68.0
5/10/24, 12:02 AM,count/min,60.0
5/11/24, 12:02 AM,count/min,60.0
5/12/24, 12:00 AM,count/min,69.0
5/13/24, 12:05 AM,count/min,63.0
5/14/24, 12:03 AM,count/min,67.0
5/15/24, 4:54 PM,count/min,78.0
5/16/24, 12:02 AM,count/min,74.0
5/17/24, 12:03 AM,count/min,67.0
5/18/24, 12:01 AM,count/min,70.0
5/19/24, 9:01 PM,count/min,68.0
5/20/24, 12:02 AM,count/min,66.0
5/21/24, 12:01 AM,count/min,63.0
5/22/24, 12:00 AM,count/min,62.00000000000001
5/23/24, 12:05 AM,count/min,73.0
5/24/24, 12:00 AM,count/min,72.0
5/25/24, 12:00 AM,count/min,66.0
5/28/24, 12:00 AM,count/min,69.0
5/29/24, 12:00 AM,count/min,69.0
5/30/24, 12:00 AM,count/min,67.0
5/31/24, 12:02 AM,count/min,67.0
6/1/24, 10:10 AM,count/min,60.0
6/2/24, 12:01 AM,count/min,64.0
6/4/24, 12:01 AM,count/min,66.0
6/5/24, 6:15 AM,count/min,71.0
6/6/24, 5:04 AM,count/min,62.00000000000001
6/7/24, 12:03 AM,count/min,63.0
6/7/24, 12:03 AM,count/min,63.0
6/11/24, 12:00 AM,count/min,62.00000000000001
6/12/24, 12:01 AM,count/min,63.0
6/13/24, 12:00 AM,count/min,65.0
6/14/24, 12:02 AM,count/min,62.00000000000001
6/17/24, 7:03 AM,count/min,76.0
6/18/24, 5:40 AM,count/min,67.0
6/21/24, 9:20 PM,count/min,62.00000000000001
6/22/24, 12:00 AM,count/min,56.0
6/23/24, 12:02 AM,count/min,60.0
6/25/24, 12:00 AM,count/min,64.0
6/26/24, 12:00 AM,count/min,62.00000000000001
6/28/24, 12:00 AM,count/min,66.0
7/1/24, 12:05 AM,count/min,66.0
7/2/24, 12:02 AM,count/min,61.0
7/4/24, 12:07 AM,count/min,67.0
7/5/24, 12:00 AM,count/min,62.00000000000001
7/6/24, 12:08 AM,count/min,63.0
7/7/24, 8:59 PM,count/min,67.0
7/8/24, 12:04 AM,count/min,62.00000000000001
7/9/24, 12:06 AM,count/min,62.00000000000001
7/11/24, 1:46 AM,count/min,60.0
7/12/24, 12:00 AM,count/min,64.0
7/19/24, 7:17 AM,count/min,65.0
7/21/24, 1:04 AM,count/min,57.0
7/27/24, 6:10 AM,count/min,64.0
7/28/24, 5:15 PM,count/min,75.0
7/29/24, 12:05 AM,count/min,70.0
7/31/24, 12:00 AM,count/min,71.0
8/2/24, 12:03 AM,count/min,63.0
8/3/24, 6:18 AM,count/min,77.00000000000001
8/6/24, 12:00 AM,count/min,72.0
8/9/24, 12:02 AM,count/min,63.0
8/10/24, 11:08 AM,count/min,66.0
8/11/24, 8:51 PM,count/min,71.0
8/12/24, 12:00 AM,count/min,60.0
8/14/24, 12:01 AM,count/min,61.0
8/15/24, 12:00 AM,count/min,60.0
8/16/24, 12:02 AM,count/min,65.0
8/17/24, 6:11 AM,count/min,64.0
8/18/24, 12:04 AM,count/min,66.0
8/19/24, 12:01 AM,count/min,65.0
8/20/24, 12:04 AM,count/min,63.0
8/21/24, 12:00 AM,count/min,65.0
8/22/24, 12:02 AM,count/min,65.0
8/23/24, 12:01 AM,count/min,62.00000000000001
8/25/24, 9:11 PM,count/min,68.0
8/26/24, 12:03 AM,count/min,67.0
8/27/24, 12:00 AM,count/min,69.0
8/28/24, 12:06 AM,count/min,69.0
8/29/24, 12:00 AM,count/min,69.0
8/30/24, 12:04 AM,count/min,66.0
9/2/24, 8:57 PM,count/min,64.0
9/2/24, 8:57 PM,count/min,64.0
9/3/24, 12:03 AM,count/min,66.0
9/3/24, 12:03 AM,count/min,66.0
9/4/24, 12:01 AM,count/min,68.0
9/5/24, 12:04 AM,count/min,62.00000000000001
9/6/24, 12:01 AM,count/min,62.00000000000001
9/9/24, 8:53 PM,count/min,61.0
9/10/24, 12:03 AM,count/min,61.0
9/11/24, 12:02 AM,count/min,64.0
9/12/24, 12:00 AM,count/min,62.00000000000001
9/13/24, 12:02 AM,count/min,63.0
9/14/24, 5:50 AM,count/min,60.0
9/16/24, 9:12 PM,count/min,64.0
9/17/24, 12:04 AM,count/min,62.00000000000001
9/18/24, 12:00 AM,count/min,65.0
9/19/24, 12:01 AM,count/min,65.0
9/20/24, 12:03 AM,count/min,69.0
9/22/24, 9:08 PM,count/min,70.0
9/23/24, 12:00 AM,count/min,66.0
9/24/24, 12:04 AM,count/min,63.0
9/25/24, 3:53 PM,count/min,70.0
9/26/24, 12:01 AM,count/min,60.0
9/28/24, 6:20 AM,count/min,65.0
9/29/24, 7:42 PM,count/min,67.0
9/30/24, 12:01 AM,count/min,63.0
10/1/24, 2:16 AM,count/min,62.00000000000001
10/2/24, 12:06 AM,count/min,61.0
10/3/24, 12:03 AM,count/min,66.0
10/4/24, 12:05 AM,count/min,65.0
10/6/24, 7:57 PM,count/min,81.0
10/7/24, 12:01 AM,count/min,70.0
10/8/24, 12:02 AM,count/min,58.0
10/9/24, 12:02 AM,count/min,58.0
10/14/24, 9:07 AM,count/min,73.0
10/15/24, 12:00 AM,count/min,58.0
10/16/24, 12:00 AM,count/min,64.0
10/17/24, 12:04 AM,count/min,68.0
10/18/24, 12:00 AM,count/min,59.0
10/22/24, 9:02 PM,count/min,75.0
10/23/24, 12:02 AM,count/min,55.0
10/24/24, 12:00 AM,count/min,52.0
10/25/24, 12:07 AM,count/min,52.0
10/27/24, 9:03 PM,count/min,80.0
10/28/24, 12:03 AM,count/min,56.0
10/29/24, 12:01 AM,count/min,73.0